YearStart,YearEnd,LocationAbbr,LocationDesc,pct_overweight,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,age_months,race,GeoLocation,Indigenous
2008,2008,AL,Alabama,25.0,19.3,30.7,228,,Indigenous,"    (32.84057112200048, -86.63186076199969)",1
2008,2008,AL,Alabama,15.8,15.2,16.3,"17,833",,White,"    (32.84057112200048, -86.63186076199969)",0
2008,2008,AK,Alaska,23.7,22.2,25.2,"3,190",,Indigenous,"    (64.84507995700051, -147.72205903599973)",1
2008,2008,AK,Alaska,15.5,14.3,16.7,"3,540",,White,"    (64.84507995700051, -147.72205903599973)",0
2008,2008,AZ,Arizona,20.1,17.7,22.4,"1,101",,Indigenous,"    (34.865970280000454, -111.76381127699972)",1
2008,2008,AZ,Arizona,14.4,13.7,15.0,"10,763",,White,"    (34.865970280000454, -111.76381127699972)",0
2008,2008,AR,Arkansas,13.2,8.8,17.7,227,,Indigenous,"    (34.74865012400045, -92.27449074299966)",1
2008,2008,AR,Arkansas,14.7,14.1,15.3,"13,445",,White,"    (34.74865012400045, -92.27449074299966)",0
2008,2008,CA,California,17.7,16.4,18.9,"3,499",,Indigenous,"    (37.63864012300047, -120.99999953799971)",1
2008,2008,CA,California,15.6,15.2,15.9,"36,886",,White,"    (37.63864012300047, -120.99999953799971)",0
2008,2008,CO,Colorado,17.9,14.9,21.0,614,,Indigenous,"    (38.843840757000464, -106.13361092099967)",1
2008,2008,CO,Colorado,13.0,12.3,13.7,"8,479",,White,"    (38.843840757000464, -106.13361092099967)",0
2008,2008,CT,Connecticut,20.9,12.4,29.4,91,,Indigenous,"    (41.56266102000046, -72.64984095199964)",1
2008,2008,CT,Connecticut,16.1,15.0,17.2,"4,403",,White,"    (41.56266102000046, -72.64984095199964)",0
2008,2008,DE,Delaware,15.8,14.0,17.5,"1,691",,White,"    (39.008830667000495, -75.57774116799965)",0
2008,2008,DC,District of Columbia,7.8,0.2,15.5,51,,White,"    (38.89037138500049, -77.03196112699965)",0
2008,2008,FL,Florida,13.2,9.9,16.5,401,,Indigenous,"    (28.932040377000476, -81.92896053899966)",1
2008,2008,FL,Florida,15.0,14.7,15.4,"39,090",,White,"    (28.932040377000476, -81.92896053899966)",0
2008,2008,GA,Georgia,15.4,12.7,18.1,702,,Indigenous,"    (32.83968109300048, -83.62758034599966)",1
2008,2008,GA,Georgia,15.9,15.4,16.3,"26,581",,White,"    (32.83968109300048, -83.62758034599966)",0
2008,2008,HI,Hawaii,11.5,3.2,19.7,61,,Indigenous,"    (21.304850435000446, -157.85774940299973)",1
2008,2008,HI,Hawaii,10.6,8.8,12.4,"1,126",,White,"    (21.304850435000446, -157.85774940299973)",0
2008,2008,ID,Idaho,23.4,18.8,27.9,338,,Indigenous,"    (43.682630005000476, -114.3637300419997)",1
2008,2008,ID,Idaho,14.8,14.1,15.6,"8,497",,White,"    (43.682630005000476, -114.3637300419997)",0
2008,2008,IL,Illinois,15.4,7.8,22.9,91,,Indigenous,"    (40.48501028300046, -88.99771017799969)",1
2008,2008,IL,Illinois,14.6,14.2,15.0,"29,481",,White,"    (40.48501028300046, -88.99771017799969)",0
2008,2008,IN,Indiana,18.9,11.8,25.9,122,,Indigenous,"    (39.766910452000445, -86.14996019399968)",1
2008,2008,IN,Indiana,17.0,16.6,17.4,"27,722",,White,"    (39.766910452000445, -86.14996019399968)",0
2008,2008,IA,Iowa,17.6,12.2,23.0,193,,Indigenous,"    (42.46940091300047, -93.81649055599968)",1
2008,2008,IA,Iowa,17.0,16.4,17.5,"15,839",,White,"    (42.46940091300047, -93.81649055599968)",0
2008,2008,KS,Kansas,22.5,17.9,27.2,315,,Indigenous,"    (38.34774030000045, -98.20078122699965)",1
2008,2008,KS,Kansas,17.1,16.5,17.8,"13,175",,White,"    (38.34774030000045, -98.20078122699965)",0
2008,2008,KY,Kentucky,11.9,3.4,20.4,59,,Indigenous,"    (37.645970271000465, -84.77497104799966)",1
2008,2008,KY,Kentucky,16.6,16.2,17.0,"37,303",,White,"    (37.645970271000465, -84.77497104799966)",0
2008,2008,LA,Louisiana,27.0,20.3,33.7,174,,Indigenous,"    (31.31266064400046, -92.44568007099969)",1
2008,2008,LA,Louisiana,17.1,16.4,17.7,"13,683",,White,"    (31.31266064400046, -92.44568007099969)",0
2008,2008,ME,Maine,27.4,20.1,34.7,146,,Indigenous,"    (45.254228894000505, -68.98503133599962)",1
2008,2008,ME,Maine,17.4,16.5,18.2,"7,846",,White,"    (45.254228894000505, -68.98503133599962)",0
2008,2008,MD,Maryland,13.3,8.7,18.0,210,,Indigenous,"    (39.29058096400047, -76.60926011099963)",1
2008,2008,MD,Maryland,17.2,16.4,18.0,"8,468",,White,"    (39.29058096400047, -76.60926011099963)",0
2008,2008,MA,Massachusetts,5.9,0.0,12.6,51,,Indigenous,"    (42.27687047000046, -72.08269067499964)",1
2008,2008,MA,Massachusetts,16.4,15.9,17.0,"17,017",,White,"    (42.27687047000046, -72.08269067499964)",0
2008,2008,MI,Michigan,20.0,17.6,22.3,"1,106",,Indigenous,"    (44.6613195430005, -84.71439026999968)",1
2008,2008,MI,Michigan,16.9,16.6,17.3,"45,096",,White,"    (44.6613195430005, -84.71439026999968)",0
2008,2008,MN,Minnesota,21.3,19.7,22.8,"2,559",,Indigenous,"    (46.35564873600049, -94.79420050299967)",1
2008,2008,MN,Minnesota,15.1,14.6,15.5,"23,764",,White,"    (46.35564873600049, -94.79420050299967)",0
2008,2008,MS,Mississippi,16.7,15.9,17.4,"9,422",,White,"    (32.745510099000455, -89.53803082499968)",0
2008,2008,MO,Missouri,14.8,8.0,21.6,108,,Indigenous,"    (38.635790776000476, -92.56630005299968)",1
2008,2008,MO,Missouri,16.7,16.3,17.1,"31,105",,White,"    (38.635790776000476, -92.56630005299968)",0
2008,2008,MT,Montana,20.5,18.9,22.1,"2,322",,Indigenous,"    (47.06652897200047, -109.42442064499971)",1
2008,2008,MT,Montana,14.8,13.9,15.8,"5,075",,White,"    (47.06652897200047, -109.42442064499971)",0
2008,2008,NE,Nebraska,21.8,17.4,26.2,344,,Indigenous,"    (41.6410409880005, -99.36572062299967)",1
2008,2008,NE,Nebraska,15.6,14.7,16.4,"7,585",,White,"    (41.6410409880005, -99.36572062299967)",0
2008,2008,NV,Nevada,14.4,10.8,18.1,353,,Indigenous,"    (39.493240390000494, -117.07184056399967)",1
2008,2008,NV,Nevada,13.6,12.3,14.8,"2,954",,White,"    (39.493240390000494, -117.07184056399967)",0
2008,2008,NH,New Hampshire,18.7,17.6,19.7,"5,436",,White,"    (43.65595011300047, -71.50036091999965)",0
2008,2008,NJ,New Jersey,18.4,14.0,22.7,305,,Indigenous,"    (40.13057004800049, -74.27369128799967)",1
2008,2008,NJ,New Jersey,18.1,17.3,19.0,"8,254",,White,"    (40.13057004800049, -74.27369128799967)",0
2008,2008,NM,New Mexico,16.9,14.3,19.6,768,,Indigenous,"    (34.52088095200048, -106.24058098499967)",1
2008,2008,NM,New Mexico,14.0,12.7,15.2,"2,903",,White,"    (34.52088095200048, -106.24058098499967)",0
2008,2008,NY,New York,15.2,13.3,17.0,"1,386",,Indigenous,"    (42.82700103200045, -75.54397042699964)",1
2008,2008,NY,New York,17.2,16.9,17.6,"49,138",,White,"    (42.82700103200045, -75.54397042699964)",0
2008,2008,NC,North Carolina,15.5,13.2,17.9,908,,Indigenous,"    (35.466220975000454, -79.15925046299964)",1
2008,2008,NC,North Carolina,13.6,13.1,14.0,"25,596",,White,"    (35.466220975000454, -79.15925046299964)",0
2008,2008,ND,North Dakota,21.0,18.9,23.2,"1,384",,Indigenous,"    (47.47531977900047, -100.11842104899966)",1
2008,2008,ND,North Dakota,16.4,15.0,17.7,"2,988",,White,"    (47.47531977900047, -100.11842104899966)",0
2008,2008,OH,Ohio,19.5,15.7,23.3,420,,Indigenous,"    (40.06021014100048, -82.40426005599966)",1
2008,2008,OH,Ohio,16.2,15.9,16.5,"54,229",,White,"    (40.06021014100048, -82.40426005599966)",0
